key,name,description,rating,rating_count,ingredients
54_hd,Salted Caramel Chocolate TRIO CRISPY LAYERS,Journey through layers of lightly salted caramel ice cream and irresistible chocolate ice cream stacked between crisp Belgian chocolate for an unmistakably sophisticated sweetness.,3.4,55,"CREAM, SKIM MILK, CANE SUGAR, COCOA PROCESSED WITH ALKALI, CREAM, SKIM MILK, CANE SUGAR, SWEETENED CONDENSED MILK, MILK, CANE SUGAR, CORN SYRUP, EGG YOLKS, CARAMELIZED SUGAR, CANE SUGAR, WATER, SEA SALT, BAKING SODA, SOY LECITHIN, VANILLA EXTRACT, SUGAR, COCONUT OIL, WHOLE MILK POWDER, COCOA BUTTER, SOY LECITHIN"
55_hd,Strawberry Ice Cream,"We introduce sweet summer strawberries to pure cream and other natural ingredients. Because it's brimming with real fruit, the true flavor of our strawberries comes shining through.",4.8,108,"CREAM, SKIM MILK, STRAWBERRIES, CANE SUGAR, EGG YOLKS"
56_hd,Strawberry Waffle Cone HEAVEN Light Ice Cream,Introducing new HEAVEN Strawberry Waffle Cone light ice cream. Delight in the sweet taste of strawberry light ice cream dappled with crunchy pieces of chocolate-covered waffle cone.,4.2,18,"CANE SUGAR, SKIM MILK, STRAWBERRIES, CREAM, CHOCOLATY COATED CONE PIECES, COCONUT OIL, CANE SUGAR, WAFFLE CONE PIECES, WHEAT FLOUR, CANE SUGAR, SOYBEAN OIL, SOY LECITHIN, NATURAL FLAVOR, SALT, COCOA PROCESSED WITH ALKALI, VANILLA EXTRACT, EGG YOLKS, PECTIN, VITAMIN A PALMITATE"
57_hd,Triple Chocolate TRIO CRISPY LAYERS,"Velvety white chocolate ice cream complemented by smooth milk chocolate ice cream with the delightful crunch of crispy Belgian chocolate layers. At last, the joy of chocolate without having to choose.",3.9,52,"CREAM, SKIM MILK, CANE SUGAR, EGG YOLKS, COCOA BUTTER, CREAM, SKIM MILK, CANE SUGAR, COCOA PROCESSED WITH ALKALI, SUGAR, COCONUT OIL, SOY LECITHIN, VANILLA EXTRACT"
58_hd,Vanilla Cookie Squares,A dark chocolate cookie gets even more decadent when it's topped with our signature vanilla ice cream then dipped in a dark chocolate shell and a milk chocolate drizzle.,4.3,32,"CREAM, SKIM MILK, SUGAR, EGG YOLKS, DARK CHOCOLATE, SUGAR, CHOCOLATE, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL, BLEACHED WHEAT FLOUR, SUGAR, PALM OIL, COCOA PROCESSED WITH ALKALI, CORN SYRUP, MOLASSES, BAKING SODA, SALT, MILK CHOCOLATE, SUGAR, WHOLE MILK POWDER, CHOCOLATE, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT"
59_hd,Vanilla Ice Cream,"Vanilla is the essence of elegance and sophistication. This marriage of pure, sweet cream and Madagascar vanilla creates the sweet scent of exotic spice and a distinctive taste that lingers on your tongue.",3.0,228,"CREAM, SKIM MILK, CANE SUGAR, EGG YOLKS, VANILLA EXTRACT"
60_hd,Vanilla Soft Dipped Ice Cream Bar,"Introducing Soft Dipped Ice Cream Bars, a luscious combination of creamy vanilla ice cream covered in a soft chocolate truffle coating - the ultimate luxurious taste sensation.",4.4,13,"VANILLA ICE CREAM: CREAM, SKIM MILK, SUGAR, EGG YOLKS, VANILLA EXTRACT. CHOCOLATY COATING: SUGAR, COCOA PROCESSED WITH ALKALI, CANOLA OIL, PALM OIL, SOY LECITHIN.
CONTAINS: MILK, EGG AND SOY INGREDIENTS"
61_hd,Vanilla Bean Ice Cream,"a unique twist to our iconic flavor. our ice cream blends Madagascar vanilla and pure, sweet cream with flecks of real vanilla beans, for a spicy and sweet delight.",4.5,115,"CREAM, SKIM MILK, CANE SUGAR, EGG YOLKS, GROUND VANILLA BEANS, VANILLA EXTRACT"
62_hd,Vanilla Blackberry Chocolate TRIO CRISPY LAYERS,"It begins with the classic taste of pure vanilla ice cream then, one layer of crispy Belgian chocolate later, becomes the vine-ripened intensity of blackberry ice cream.",4.3,74,"CREAM, SKIM MILK, CANE SUGAR, EGG YOLKS, CREAM, SKIM MILK, CANE SUGAR, EGG YOLKS, NATURAL FLAVOR, LEMON JUICE CONCENTRATE, SUGAR, COCONUT OIL, SOY LECITHIN"
63_hd,Vanilla Caramel White Chocolate TRIO CRISPY LAYERS,This incredible combination of tastes and textures combines layers of vanilla and caramel ice cream with crunchy white chocolate and sweet caramel sauce.,5.0,32,"CREAM, SKIM MILK, SUGAR, SWEETENED CONDENSED MILK, CONDENSED MILK, SUGAR, CORN SYRUP, EGG YOLKS, CARAMELIZED SUGAR, SUGAR, WATER, SEA SALT, BAKING SODA, SOY LECITHIN, VANILLA EXTRACT, CREAM, SKIM MILK, SUGAR, EGG YOLKS, SUGAR, COCOA BUTTER, NONFAT DRY MILK, COCONUT OIL, SKIM MILK, SOY LECITHIN, CORN SYRUP, SWEETENED CONDENSED MILK, CONDENSED MILK, SUGAR, CREAM, SUGAR, WATER, BUTTER, CREAM, SALT, SALT, PECTIN, SOY LECITHIN"
64_hd,Vanilla Chocolate Chip Ice Cream,"Our delectable chocolate chips are swirled with our creamy, smooth vanilla ice cream, allowing two flavor titans to come together in this classically indulgent treat.",4.5,46,"CREAM, SKIM MILK, SUGAR, LACTOSE REDUCED SKIM MILK, CHOCOLATE, CORN SYRUP, EGG YOLKS, COCOA BUTTER, SALT, VANILLA EXTRACT"
65_hd,Vanilla Milk Chocolate Ice Cream Bar,"Pure, sweet vanilla blends with sweet cream to make our incredibly smooth vanilla ice cream. Dipped in a milk chocolate coating and drizzled with fine milk chocolate, it's so thick and delicious you'll find it impossible to resist.",4.6,76,"CREAM, SKIM MILK, SUGAR, EGG YOLKS, VANILLA EXTRACT, MILK CHOCOLATE, SUGAR, WHOLE MILK POWDER, CHOCOLATE, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL"
66_hd,Vanilla Milk Chocolate Almond Ice Cream Bar,"We start with pure, sweet vanilla and blend it with sweet, fresh cream to make our incredibly smooth vanilla ice cream. Then we dip it in a crunchy roasted almond and milk chocolate coating.",2.5,224,"CREAM, SKIM MILK, SUGAR, EGG YOLKS, MILK CHOCOLATE, SUGAR, WHOLE MILK POWDER, CHOCOLATE, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, ALMONDS ROASTED IN VEGETABLE OIL, SAFFLOWER OIL, COCONUT OIL"
67_hd,Vanilla Swiss Almond Ice Cream,An almond lover's delight. Our dry-roasted almonds are lightly coated with sweet chocolate and combined with our distinctive vanilla ice cream. Simple yet perfect.,4.3,129,"CREAM, SKIM MILK, SUGAR, LACTOSE REDUCED SKIM MILK, CORN SYRUP, EGG YOLKS, CHOCOLATE, COCOA BUTTER, SALT"
68_hd,Whiskey Hazelnut Latte Ice Cream,"This new spiked latte inspired treat is a delicious whiskey infused coffee ice cream blended with ribbons of hazelnut fudge and chocolate espresso flakes.
*Contains Less Than 0.5% Alcohol by Volume",4.5,11,"CREAM, SKIM MILK, SUGAR, EGG YOLKS, BROWN SUGAR, COFFEE, MOLASSES, NATURAL FLAVOR, CORN STARCH, POWDERED SUGAR, SOYBEAN OIL, COCOA PROCESSED WITH ALKALI, COCOA BUTTER, SOY LECITHIN, CHOCOLATE, CANE SUGAR, CHOCOLATE, COCOA BUTTER, MILKFAT, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL, COFFEE"
69_hd,White Chocolate Raspberry Ice Cream Bar,"Inspired by a familiar favorite, this bar of smooth white chocolate ice cream with swirls of tart raspberry is dipped in milk chocolate and then sprinkled with dark chocolate. Perfect for getting carried away.",3.9,11,"WHITE CHOCOLATE ICE CREAM, CREAM, SKIM MILK, SUGAR, EGG YOLKS, COCOA BUTTER, NATURAL FLAVOR, MILK CHOCOLATE AND VEGETABLE OIL COATING, MILK CHOCOLATE, SUGAR, WHOLE MILK POWDER, CHOCOLATE, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL, RASPBERRY SWIRL, RASPBERRY PUREE, SUGAR, WATER, LEMON JUICE CONCENTRATE, PECTIN, NATURAL FLAVOR, DARK CHOCOLATE, SUGAR, CHOCOLATE, SOY LECITHIN, VANILLA EXTRACT, COCONUT OIL, SOYBEAN OIL"
